Fator_sul,Fator_sudeste,Fator_cap,Probabilidade
0.6444864199,0.6650030247,0.3096918661,0.006735159817
0.4883849221,0.6274826133,0.452143391,0.006621004566
0.3850757901,0.5175636494,0.3145085456,0.006621004566
0.5828426675,0.7773888295,0.2927417238,0.006506849315
0.7484262381,0.8452322467,0.3736614108,0.006392694064
0.3831360825,0.5276814872,0.2441498418,0.006278538813
0.7668765713,0.8497195087,0.3009724857,0.006278538813
0.6266304414,0.7090111463,0.1263693336,0.006164383562
0.5000101839,0.5927459791,0.1727793666,0.006050228311
0.4281439102,0.5898190713,0.1655653754,0.006050228311
0.6566884777,0.6872998856,0.1976154645,0.006050228311
0.3987405353,0.5696661265,0.21867356,0.005936073059
0.6542543935,0.704320594,0.432659823,0.005821917808
0.6237116616,0.7292008032,0.4616055584,0.005821917808
0.5639347147,0.6320056955,0.433682597,0.005821917808
0.5386636158,0.6319393476,0.1443957673,0.005707762557
0.7499044949,0.7865214865,0.364879565,0.005479452055
0.4628433831,0.5996861636,0.4749470285,0.005479452055
0.4544157621,0.5483111411,0.4510743657,0.005365296804
0.5464071293,0.6999356588,0.1581974508,0.005365296804
0.5927287249,0.7426816625,0.1574416183,0.005365296804
0.7104078981,0.7541818385,0.1718054999,0.005136986301
0.3904616344,0.5449808193,0.3997511017,0.005136986301
0.6687051265,0.7260167989,0.1529623276,0.004908675799
0.8393575875,0.8721133756,0.2294442358,0.004908675799
0.7265051727,0.781450376,0.1206355086,0.004794520548
0.4768163287,0.6360259166,0.1710785828,0.004794520548
0.4257010117,0.5463292965,0.1218690216,0.004680365297
0.6555487094,0.7616312745,0.1180908986,0.004680365297
0.7373712855,0.8305174869,0.4307435126,0.004566210046
0.7282078717,0.7633356397,0.4043165258,0.004566210046
0.6630311245,0.7963902198,0.4556745893,0.004566210046
0.5860144703,0.6605151583,0.1164675473,0.004452054795
0.4006934625,0.564059209,0.4514962333,0.004337899543
0.7731514335,0.8579668851,0.2199417544,0.004223744292
0.818279867,0.8358122688,0.2670283285,0.004109589041
0.7148506663,0.7889488501,0.4570966823,0.004109589041
0.637915139,0.8245064358,0.4169595289,0.004109589041
